"genus","taxon","year"
"Indigofera","Indigofera cytisoides",1767
"Indigofera","Indigofera linifolia",1786
"Indigofera","Indigofera linifolia",1791
"Oxytropis","Oxytropis campestris",1802
"Oxytropis","Oxytropis deflexa",1802
"Acacia","Acacia longifolia",1806
"Acacia","Acacia stricta",1806
"Acacia","Acacia verticillata",1806
"Oxytropis","Oxytropis sordida",1807
"Acacia","Acacia nigricans",1813
"Acacia","Acacia pubescens",1813
"Acacia","Acacia sophorae",1813
"Acacia","Acacia saligna",1820
"Acacia","Acacia truncata",1824
"Crotalaria","Crotalaria purshii",1825
"Oxytropis","Oxytropis nigrescens",1825
"Astragalus","Astragalus flexuosus",1832
"Indigofera","Indigofera brachystachya",1832
"Mimosa","Mimosa velloziana",1839
"Acacia","Acacia elata",1845
"Astragalus","Astragalus darumbium",1847
"Astragalus","Astragalus robbinsii",1856
"Astragalus","Astragalus diversifolius",1864
"Astragalus","Astragalus douglasii",1864
"Astragalus","Astragalus simplicifolius",1864
"Lupinus","Lupinus grayi",1876
"Astragalus","Astragalus cruckshanksii",1879
"Indigofera","Indigofera constricta",1885
"Astragalus","Astragalus nebrodensis",1887
"Oxytropis","Oxytropis sericea",1887
"Astragalus","Astragalus convallarius",1893
"Astragalus","Astragalus ceramicus",1894
"Astragalus","Astragalus gambelianus",1894
"Astragalus","Astragalus gambelianus",1894
"Astragalus","Astragalus gilviflorus",1894
"Astragalus","Astragalus neglectus",1894
"Astragalus","Astragalus umbraticus",1894
"Astragalus","Astragalus umbraticus",1894
"Astragalus","Astragalus longifolius",1895
"Astragalus","Astragalus neglectus",1895
"Astragalus","Astragalus cruckshanksii",1897
"Astragalus","Astragalus curvicaulis",1897
"Oxytropis","Oxytropis besseyi",1905
"Oxytropis","Oxytropis immersa",1905
"Oxytropis","Oxytropis immersa",1907
"Oxytropis","Oxytropis bellii",1910
"Astragalus","Astragalus vogelii",1915
"Mimosa","Mimosa barberi",1920
"Astragalus","Astragalus oplites",1921
"Indigofera","Indigofera colutea",1921
"Astragalus","Astragalus curvicarpus",1922
"Astragalus","Astragalus cottonii",1923
"Indigofera","Indigofera constricta",1923
"Oxytropis","Oxytropis falcata",1926
"Oxytropis","Oxytropis korabensis",1929
"Indigofera","Indigofera nummulariifolia",1931
"Acacia","Acacia deanei",1932
"Astragalus","Astragalus ernestii",1934
"Acacia","Acacia densiflora",1936
"Astragalus","Astragalus minthorniae",1936
"Astragalus","Astragalus bornmuellerianus",1937
"Astragalus","Astragalus bornmuellerianus",1937
"Astragalus","Astragalus ferganensis",1937
"Mimosa","Mimosa pectinatipinna",1947
"Astragalus","Astragalus michauxii",1948
"Acacia","Acacia flavipila",1966
"Oxytropis","Oxytropis subnutans",1968
"Oxytropis","Oxytropis popoviana",1972
"Crotalaria","Crotalaria khasiana",1979
"Crotalaria","Crotalaria sulphizii",1979
"Astragalus","Astragalus caeruleopetalinus",1980
"Astragalus","Astragalus kurgankolensis",1980
"Astragalus","Astragalus strizhovae",1980
"Acacia","Acacia lazaridis",1981
